A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,0.84,0.00,0.00,0.00,6.94,0.26,2.34,8.08,0.00,0.00,0.00,0.00,0.33,15.71,0.00,5.96,1.54,13.73,19.14,7.57,5.61,4.77,5.51,6,18,1,9.3
0.00,0.67,0.00,0.00,0.00,5.56,1.21,1.87,7.46,0.00,0.00,0.00,0.00,0.26,14.57,0.00,6.77,2.23,20.28,17.33,9.06,4.49,5.79,5.70,5,11,0,0.4
0.00,0.43,0.00,0.00,0.00,6.36,0.77,2.00,8.58,0.00,0.00,0.00,0.00,0.17,11.13,0.00,5.33,1.43,15.20,18.22,10.40,4.67,7.19,3.94,4,2,0,4.9
0.00,0.28,0.00,0.00,0.00,5.87,0.50,3.88,8.89,0.00,0.00,0.00,0.00,0.11,9.52,0.00,7.01,1.91,22.75,17.62,7.65,5.39,6.55,5.51,3,6,0,-0.7
0.00,0.78,0.00,0.00,0.00,3.64,0.25,2.99,6.83,0.00,0.00,0.00,0.00,0.05,10.79,0.00,6.23,0.98,14.60,18.19,8.16,8.20,8.75,9.61,3,13,1,4.6
0.00,0.62,0.00,0.00,0.00,3.92,0.20,2.39,7.47,0.00,0.00,0.00,0.00,0.04,11.64,0.00,4.98,1.78,16.28,17.19,7.53,6.56,5.58,5.95,3,15,0,-0.7
0.00,0.50,0.00,0.00,0.00,7.13,0.16,1.91,6.97,0.00,0.00,0.00,0.00,0.04,12.31,0.00,4.99,1.43,12.32,17.48,7.02,6.25,3.63,6.52,3,18,1,0.9
0.00,0.40,0.00,0.00,0.00,7.71,0.13,1.53,6.58,0.00,0.00,0.00,0.00,0.03,10.85,0.00,4.99,1.14,10.76,17.65,8.62,6.00,7.10,7.97,3,10,0,2.9
0.00,0.32,0.00,0.00,0.00,8.16,0.10,1.22,6.26,0.00,0.00,0.00,0.00,0.02,8.68,0.00,5.99,0.91,11.51,17.97,8.89,5.80,3.11,7.23,3,9,0,4.4
0.00,0.80,0.00,0.00,0.00,1.80,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,7.80,0.00,0.80,0.00,-3.08,9.5,3.64,4.47,4.24,6.77,16,17,1,1.9
0.00,0.13,0.00,0.00,0.00,1.14,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,1.52,0.00,0.34,0.00,-0.12,9.23,4.96,6.66,4.91,10.11,10,17,0,5.6
0.00,1.11,0.00,0.00,0.00,2.91,0.00,0.00,1.95,0.00,0.00,0.00,0.00,0.00,2.21,0.00,2.28,1.00,5.51,8.54,5.97,5.33,6.20,2.36,11,1,1,0.4
0.00,0.77,0.00,0.00,0.00,2.82,0.00,0.41,6.39,0.00,0.00,0.00,0.00,0.00,4.45,0.00,2.96,0.97,9.05,8.18,6.04,6.19,8.41,6.79,11,4,1,-0.9
0.00,1.29,0.00,0.00,0.00,5.41,0.80,2.86,4.89,0.00,0.00,0.00,0.00,0.80,4.65,0.00,3.89,0.62,7.87,9.11,5.66,5.76,6.15,6.24,11,16,1,4.7
0.00,1.04,0.00,0.00,0.00,4.33,0.64,2.29,8.91,0.00,0.00,0.00,0.00,0.64,7.72,0.00,5.11,0.50,11.00,9.1,5.53,7.61,6.29,4.60,9,8,0,3.6
0.00,0.42,0.00,0.00,0.00,2.28,0.26,0.94,3.65,0.00,0.00,0.00,0.00,0.26,4.70,0.00,2.09,0.71,6.35,8.3,6.73,6.92,5.79,3.87,10,5,0,0.2
0.00,1.34,0.00,0.00,0.00,1.83,0.21,0.75,3.92,0.00,0.00,0.00,0.00,0.21,3.76,0.00,2.68,0.57,5.28,8.88,8.38,6.53,7.59,5.79,10,6,1,4.2
0.00,1.35,0.00,0.00,0.00,5.48,1.53,0.31,2.63,0.64,0.00,0.00,0.00,0.09,4.45,0.00,2.54,0.75,6.52,9.69,8.47,8.20,5.27,3.88,11,8,0,8.6
1.00,1.08,0.00,0.00,0.00,6.39,1.22,0.25,2.10,1.51,0.00,0.00,0.00,0.07,5.56,0.00,3.03,0.60,13.82,10.61,7.78,7.56,8.11,5.25,8,15,1,13.2
0.64,0.69,0.00,0.00,0.00,5.09,0.78,1.16,3.15,0.97,0.80,0.00,0.00,0.04,4.36,0.00,4.94,1.18,25.20,8.81,9.38,6.84,4.81,4.15,9,4,1,1.3
