A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
1.00,0.38,0.00,0.00,0.00,2.41,1.38,1.81,1.77,0.00,0.28,0.00,0.00,2.27,3.01,0.00,0.69,0.00,8.27,8.97,1.60,2.66,0.02,3.47,18,12,0,2.3
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.0,3.65,2.20,3.04,0.44,8,3,0,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.92,1.35,6.89,1.26,1.07,13,15,1,1.6
0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,3.6,0.68,4.44,3.55,2.17,11,10,0,0.1
0.00,0.00,0.00,0.00,0.00,3.50,1.00,1.00,0.50,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.90,3.39,1.34,3.22,1.50,0.63,11,7,1,-0.3
0.00,0.00,0.00,0.00,0.00,2.75,0.50,0.50,1.25,0.00,0.00,0.00,0.00,0.50,2.00,0.00,0.50,0.00,0.15,3.79,2.67,2.61,3.80,4.02,13,12,0,2.0
0.00,0.00,0.00,0.00,0.00,2.38,0.25,0.25,2.62,0.00,0.00,0.00,0.00,0.25,1.00,0.00,1.25,0.00,2.08,3.79,1.33,3.31,2.12,3.63,14,3,1,0.0
0.00,0.00,0.00,0.00,0.00,1.19,0.12,0.12,1.31,0.00,0.00,0.00,0.00,0.12,0.50,0.00,0.62,0.00,1.04,3.26,1.67,3.65,4.80,1.67,15,8,0,-0.5
0.00,0.00,0.00,0.00,0.00,0.80,0.03,0.03,0.33,0.00,0.00,0.00,0.00,0.03,0.12,0.00,0.16,0.00,0.01,3.15,3.42,2.41,2.61,1.92,12,8,0,-0.3
0.00,0.00,0.00,0.00,0.00,7.20,0.01,0.01,1.58,0.00,0.00,0.00,0.00,0.01,1.53,0.00,0.54,0.00,-2.45,3.57,2.35,0.60,1.17,2.47,10,16,0,2.9
0.00,0.00,0.00,0.00,0.00,5.60,1.00,1.00,2.79,0.00,0.00,0.00,0.00,0.00,2.77,0.00,1.27,0.00,1.68,2.42,2.18,0.30,0.23,2.34,10,12,0,-3.4
0.00,1.00,0.00,0.00,0.00,6.80,0.50,0.50,4.40,0.00,0.00,0.00,0.00,0.00,4.38,0.00,0.63,0.00,-2.56,2.89,2.09,3.15,2.88,1.80,9,17,1,0.2
0.00,0.50,0.00,0.00,0.00,4.40,0.25,1.25,3.20,0.00,0.00,0.00,0.00,0.00,4.19,0.00,0.32,0.00,-1.08,1.55,2.04,1.58,1.27,2.06,10,4,1,-6.9
0.00,0.12,0.50,0.00,0.00,2.10,0.06,0.31,0.80,0.00,0.00,0.00,0.00,0.00,2.55,0.00,0.08,0.00,-3.72,4.59,3.51,3.39,2.48,2.37,10,8,0,11.5
0.00,1.03,0.12,0.00,0.00,3.02,1.02,2.58,2.70,0.00,1.50,0.00,0.00,2.00,2.14,0.00,1.02,0.00,12.32,4.82,3.38,4.85,1.52,4.65,9,20,1,9.5
0.00,1.26,0.03,0.00,0.00,2.76,0.25,3.64,3.17,0.00,0.88,0.00,0.00,1.50,2.53,0.00,0.25,0.00,6.63,3.19,1.84,3.21,4.34,1.66,10,3,1,0.0
0.00,1.16,0.00,0.00,0.00,5.34,0.03,1.96,3.90,0.00,1.11,0.00,0.00,1.19,0.32,0.00,0.03,0.00,6.78,0.0,4.73,4.65,2.59,2.70,9,8,0,7.4
0.00,0.58,0.00,0.00,0.00,10.67,0.02,1.98,2.95,0.00,1.55,0.00,0.00,0.59,3.16,0.00,2.02,0.00,10.79,0.0,4.37,3.33,4.13,2.28,10,9,1,10.4
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.44,0.00,0.00,0.00,0.00,5,17,1,0.5
0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.50,12.4,1.00,0.00,0.00,3.00,4,18,0,15.9
0.00,0.00,0.00,0.00,0.00,3.50,2.00,0.50,2.50,0.00,2.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,16.15,12.69,2.50,2.00,2.50,1.50,3,11,1,5.4
0.05,0.06,0.00,0.00,0.00,0.20,0.11,0.00,0.07,0.00,0.02,0.00,0.00,0.23,0.11,0.00,0.08,0.00,0.27,11.07,2.49,1.94,1.69,1.47,8,3,0,0.3
0.01,0.02,0.00,0.00,0.00,1.05,1.53,4.50,1.02,0.00,1.00,0.00,0.00,0.56,2.53,0.00,0.02,0.00,11.72,11.68,5.12,1.48,1.30,2.87,4,19,0,1.1
0.01,0.01,0.00,0.00,0.00,1.52,0.76,2.25,2.51,0.00,0.50,0.00,0.00,1.28,3.26,0.00,1.01,0.00,6.96,13.09,3.56,0.74,3.92,0.55,3,6,1,7.8
0.00,0.00,0.00,0.00,0.00,0.76,0.38,2.13,2.25,0.00,1.25,0.00,0.00,1.64,4.63,0.00,0.50,0.00,11.28,11.85,2.78,0.37,2.27,3.53,2,11,1,0.4
