A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,pos,price,proGoals,consGoals,realScore
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,zag,12.88,0.0,0.0,2.0
0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,zag,12.04,1.0,0.0,3.4
0.00,0.50,0.00,0.00,0.00,3.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,2.00,0.50,zag,10.85,2.5,2.0,0.1
0.00,1.25,0.00,0.00,0.00,3.50,0.50,0.50,4.50,0.00,0.00,0.00,0.00,0.00,4.00,0.00,2.00,0.25,zag,10.61,3.25,2.0,0.9
0.00,0.62,0.00,0.00,0.00,1.75,1.25,0.25,3.25,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.12,zag,10.45,3.625,2.0,1.2
0.00,0.66,0.00,0.00,0.00,2.94,0.31,0.56,0.81,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.25,0.53,zag,10.14,1.90625,1.5,1.9
0.00,0.33,0.00,0.00,0.00,1.47,0.16,2.28,1.41,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.12,0.27,zag,11.87,1.953125,3.75,10.7
0.00,0.16,0.00,0.00,0.00,1.73,0.08,2.14,2.70,0.00,0.00,0.00,0.00,0.00,2.25,0.00,3.06,1.13,zag,11.2,2.9765625,1.875,4.1
0.00,0.08,0.00,0.00,0.00,1.87,1.04,1.07,2.35,0.00,0.00,0.00,0.00,0.00,2.12,0.00,3.53,0.57,zag,10.7,2.48828125,1.9375,0.4
0.00,0.04,0.00,0.00,0.00,0.93,0.52,1.54,1.18,0.00,0.00,0.00,0.00,0.00,2.06,0.00,1.77,0.28,zag,12.69,2.244140625,2.96875,10.0
1.00,0.02,0.00,0.00,0.00,0.47,0.26,0.77,0.59,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.88,1.14,zag,11.47,5.1220703125,1.484375,2.3
0.50,1.01,0.00,0.00,0.00,3.23,0.13,0.38,0.29,0.00,0.00,0.00,0.00,0.00,3.52,0.00,1.44,1.57,zag,12.55,3.56103515625,0.7421875,7.1
0.25,0.51,0.00,0.00,0.00,1.62,1.06,0.19,0.15,0.00,0.00,0.00,0.00,0.00,3.76,0.00,1.72,1.79,zag,12.72,2.780517578125,0.37109375,6.6
0.12,0.25,0.00,0.00,0.00,0.81,0.53,0.10,1.07,0.00,0.00,0.00,0.00,0.00,3.88,0.00,1.86,1.89,zag,13.15,3.3902587890625,0.185546875,7.3
0.06,0.13,0.00,0.00,0.00,1.40,0.27,0.05,0.54,0.00,0.00,0.00,0.00,0.00,3.94,0.00,2.93,1.95,zag,12.04,2.69512939453125,0.0927734375,1.8
0.03,0.06,0.00,0.00,0.00,1.70,0.13,1.02,1.27,0.00,0.00,0.00,0.00,0.00,3.97,0.00,2.47,0.97,zag,12.86,1.347564697265625,1.04638671875,5.0
0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.13,0.02,zag,13.33,1.3335556983947754,0.9225997924804688,9.8
0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,1.06,0.00,3.07,1.01,zag,13.21,1.6667778491973877,0.4612998962402344,7.4
0.00,0.00,0.00,0.00,0.00,4.01,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,4.53,0.00,4.53,1.50,zag,13.82,3.833388924598694,0.2306499481201172,10.0
0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.51,0.00,0.00,0.00,0.00,0.00,5.27,0.00,8.27,0.75,zag,11.69,5.916694462299347,2.1153249740600586,-2.5
0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.50,0.25,0.00,0.00,0.00,0.00,0.00,2.63,0.00,4.13,0.38,zag,12.76,3.9583472311496735,3.0576624870300293,4.8
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,zag,13.75,0.0,0.0,11.7
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,1.00,zag,15.22,1.0,0.0,2.2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,0.50,zag,12.95,0.5,1.0,-2.8
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,zag,11.32,2.5245361328125,2.330322265625,1.1
