A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,realScore
0.00,0.13,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.15,0.00,0.00,0.00,10.23,2.58,1.63,0.0
0.00,0.06,0.00,0.00,0.00,1.07,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,4.07,0.00,1.00,0.00,11.65,4.29,1.81,8.8
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.74,0.00,0.00,-0.2
0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,12.36,0.00,0.00,17.3
0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.50,1.00,0.00,2.00,0.00,0.00,1.00,3.50,0.00,0.00,0.00,12.44,2.00,2.00,5.6
0.00,0.00,0.00,0.00,0.00,4.50,1.50,1.25,1.50,0.00,2.00,0.00,0.00,2.50,4.75,0.00,0.00,0.00,13.11,3.00,3.00,5.9
0.00,0.00,0.00,0.00,0.00,3.25,1.75,2.62,1.75,1.00,1.00,0.00,0.00,1.25,2.38,0.00,0.00,0.00,13.68,2.50,3.50,6.2
0.00,1.00,0.00,0.00,0.00,3.62,1.88,2.31,2.88,0.50,1.50,0.00,0.00,0.62,6.19,0.00,0.00,0.00,12.55,2.25,1.75,0.8
0.00,0.50,0.00,0.00,0.00,3.81,1.94,3.16,3.44,0.25,0.75,0.00,0.00,2.31,5.09,0.00,0.00,0.00,14.07,1.12,1.88,7.2
0.00,0.12,0.00,0.00,0.00,1.95,0.48,0.79,1.36,0.06,0.69,0.00,0.00,0.58,1.77,0.00,0.00,0.00,12.45,0.78,1.47,-0.5
0.00,0.53,0.00,0.00,0.00,2.49,0.12,0.70,0.34,0.52,0.17,0.00,0.00,1.64,1.94,0.00,0.50,0.00,11.74,1.70,1.37,-1.7
0.00,0.27,0.00,0.00,0.00,3.24,1.06,1.35,1.17,0.26,0.09,0.00,0.00,4.82,3.97,0.00,0.25,0.00,11.35,0.85,0.68,-1.7
0.00,0.57,0.00,0.00,0.00,1.31,0.27,1.34,1.29,0.06,0.02,0.00,0.00,2.21,1.99,0.00,0.06,0.00,12.39,1.21,3.17,5.1
0.00,0.28,0.00,0.00,0.00,0.66,0.13,1.67,1.65,0.03,0.01,0.00,0.00,1.10,5.00,0.00,3.03,0.00,13.73,1.61,3.59,10.1
0.00,0.14,0.00,0.00,0.00,2.33,3.07,1.83,3.82,0.02,1.01,0.00,0.00,0.55,9.50,0.00,1.52,0.00,11.8,1.80,2.79,-0.6
0.00,0.07,0.00,0.00,0.00,6.16,3.53,0.92,4.91,0.01,0.50,0.00,0.00,2.28,6.75,0.00,0.76,0.00,11.21,1.90,2.40,-3.3
0.00,0.01,0.25,0.00,0.00,1.02,0.44,0.11,0.86,0.00,0.06,0.00,0.00,0.28,0.84,0.00,0.34,0.00,10.95,1.49,1.30,-2.0
0.00,0.00,0.12,0.00,0.00,4.51,0.22,0.06,1.43,0.00,0.03,0.00,0.00,1.14,0.42,0.00,0.17,0.00,13.29,0.74,2.65,10.1
0.00,0.00,0.06,0.00,0.00,4.26,5.11,1.03,1.72,1.00,0.02,0.00,0.00,0.57,1.21,0.00,1.09,0.00,12.75,1.37,3.32,5.9
0.00,0.00,0.03,0.00,0.00,5.13,2.56,1.51,0.86,0.50,1.01,0.00,0.00,2.29,1.61,0.00,0.54,0.00,11.43,1.69,1.66,-1.3
0.00,0.00,0.00,0.00,0.00,0.82,0.16,0.22,0.30,0.03,0.06,0.00,0.00,0.39,0.10,0.00,0.03,0.00,10.31,1.48,3.85,-5.5
0.00,1.00,0.00,0.00,0.00,6.41,0.08,0.11,3.15,0.02,0.03,0.00,0.00,4.20,0.05,0.00,0.02,0.00,10.26,3.74,2.93,-4.2
0.00,1.50,0.00,0.00,0.00,9.21,1.04,0.05,4.58,0.01,0.02,0.00,0.00,3.10,4.03,0.00,0.01,0.00,11.42,1.87,2.46,2.8
0.00,0.75,0.00,0.00,0.00,4.60,0.52,3.03,2.29,0.00,0.01,0.00,0.00,3.55,2.01,0.00,1.00,0.00,10.46,0.94,2.23,-1.4
0.00,0.38,0.00,0.00,0.00,6.30,0.26,1.51,4.14,0.00,0.00,0.00,0.00,1.77,4.01,0.00,0.50,0.00,10.12,0.47,1.12,-3.2
0.00,0.59,0.00,0.00,0.00,2.58,0.06,0.38,2.54,0.00,0.00,0.00,0.00,0.94,3.00,0.00,0.13,0.00,9.98,0.62,4.28,-3.4
0.00,1.30,0.00,0.00,0.00,8.29,1.03,2.19,3.27,0.00,0.00,0.00,0.00,2.47,2.50,0.00,0.06,0.00,10.69,0.31,2.14,1.7
0.00,0.65,0.00,0.00,0.00,7.14,3.52,1.09,3.63,0.00,0.00,0.00,0.00,2.24,2.25,0.00,0.03,0.00,11.83,0.15,2.07,6.6
0.00,0.32,0.00,0.00,0.00,6.57,1.76,2.55,4.82,0.00,1.00,0.00,0.00,6.12,2.13,0.00,0.02,0.00,11.66,1.08,2.03,6.7
0.00,0.16,0.00,0.00,0.00,4.29,1.88,2.27,7.41,1.00,0.50,0.00,0.00,4.06,1.06,0.00,0.01,0.00,11.58,0.54,5.02,4.6
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.9,2.00,2.00,-0.3
0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,4.68,1.00,1.00,0.0
0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00,5.69,0.75,2.25,5.5
0.00,0.00,0.00,0.00,0.00,4.12,1.00,2.00,1.25,1.00,0.00,0.00,0.00,0.12,2.12,0.00,1.00,0.00,7.08,0.38,2.12,9.8
0.00,0.00,0.00,0.00,0.00,2.53,0.75,1.00,1.81,0.25,0.50,0.00,0.00,1.03,1.53,0.00,0.75,0.00,5.27,3.09,3.03,-1.8
