atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.posicao_id,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
101717,Vasco,9.2,0.0,ata,3,6,1,0.0,0.0,52,13,25,58,1,3,0.0,0.0,5,39,0.0,38,0.0
101798,Atlético-MG,0,0.0,mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37646,Avaí,0,0.0,zag,0.0,6,1,0.0,0.0,20,1,3,28,0.0,0.0,0.0,0.0,0.0,50,0.0,32,6
101803,Corinthians,3.3,0.0,lat,0.0,2,0.0,0.0,0.0,11,0.0,4,9,0.0,1,0.0,0.0,0.0,17,0.0,8,4
37614,Santos,2.8,0.0,mei,5,2,1,0.0,0.0,32,4,5,31,0.0,1,0.0,0.0,2,23,0.0,19,0.0
101728,São Paulo,0,0.0,zag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37246,Goiás,2.76,0.0,tec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101796,São Paulo,0,0.0,ata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101721,Vasco,0,0.0,gol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101720,Vasco,0,0.0,zag,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0
101729,São Paulo,0,0.0,ata,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101837,São Paulo,0,0.0,gol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37798,Internacional,-0.3,0.0,ata,3,7,0.0,0.0,0.0,14,17,17,11,0.0,2,0.0,0.0,0.0,23,0.0,10,0.0
