atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.posicao_id,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
52674,Botafogo,0.0,0.0,lat,1,3,2,0.0,0.0,20,0.0,1,16,0.0,0.0,0.0,0.0,0.0,37,0.0,19,5
101592,Flamengo,0.0,0.0,zag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0
62033,Bahia,0.0,0.0,ata,0.0,1,1,0.0,0.0,11,9,20,18,0.0,4,0.0,0.0,9,13,0.0,6,0.0
101290,Grêmio,0.0,0.0,ata,1,0.0,0.0,0.0,0.0,1,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0
101315,Internacional,0.0,0.0,mei,0.0,3,0.0,0.0,0.0,14,3,7,9,0.0,3,0.0,0.0,0.0,20,0.0,10,0.0
81798,Vasco,0.0,0.0,ata,2,7,0.0,0.0,0.0,32,16,14,43,1,1,0.0,0.0,4,66,1,19,0.0
61188,Bahia,0.0,0.0,ata,3,1,0.0,0.0,0.0,28,15,25,17,2,11,0.0,0.0,8,31,0.0,21,0.0
101316,Avaí,0.0,0.0,zag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101626,Bahia,0.0,0.0,zag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62047,Palmeiras,0.0,0.0,mei,0.0,0.0,0.0,0.0,0.0,2,0.0,1,1,0.0,0.0,0.0,0.0,0.0,7,0.0,1,0.0
61228,CSA,0.0,0.0,gol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101319,Atlético-MG,0.0,0.0,lat,4,0.0,0.0,0.0,0.0,13,1,3,13,0.0,0.0,0.0,0.0,2,49,0.0,36,1
101596,Flamengo,0.0,0.0,ata,1,0.0,0.0,0.0,0.0,2,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
101647,Vasco,0.0,0.0,zag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101597,Flamengo,0.0,0.0,lat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101375,CSA,0.0,0.0,mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62086,Santos,0.0,0.0,lat,0.0,4,0.0,0.0,0.0,16,0.0,1,8,0.0,0.0,0.0,0.0,0.0,14,0.0,14,5
52950,Atlético-MG,0.0,0.0,gol,0.0,1,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,7,0.0,0.0,1
61985,Fluminense,0.0,0.0,mei,0.0,2,1,0.0,0.0,10,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7,0.0,5,0.0
